Expression	Value	Location	Type	
Highs	Error (col 1): Unknown or ambiguous symbol. Highs			
Lows	Error (col 1): Unknown or ambiguous symbol. Lows			
Highs_A1	Error (col 1): Unknown or ambiguous symbol. Highs_A1			
[141]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000011F	HAL::I2CIntr::I2CLogs_t	
[142]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000120	HAL::I2CIntr::I2CLogs_t	
[143]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000121	HAL::I2CIntr::I2CLogs_t	
[144]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000122	HAL::I2CIntr::I2CLogs_t	
[145]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000123	HAL::I2CIntr::I2CLogs_t	
[146]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000124	HAL::I2CIntr::I2CLogs_t	
[147]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000125	HAL::I2CIntr::I2CLogs_t	
[148]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x20000126	HAL::I2CIntr::I2CLogs_t	
[149]	I2C_LOG_TXN_DONE	0x20000127	HAL::I2CIntr::I2CLogs_t	
[150]	I2C_LOG_TXN_DEQUEUED	0x20000128	HAL::I2CIntr::I2CLogs_t	
[151]	I2C_LOG_SB_MASTER_TX	0x20000129	HAL::I2CIntr::I2CLogs_t	
[152]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000012A	HAL::I2CIntr::I2CLogs_t	
[153]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x2000012B	HAL::I2CIntr::I2CLogs_t	
[154]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x2000012C	HAL::I2CIntr::I2CLogs_t	
[155]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x2000012D	HAL::I2CIntr::I2CLogs_t	
[156]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000012E	HAL::I2CIntr::I2CLogs_t	
[157]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000012F	HAL::I2CIntr::I2CLogs_t	
[158]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000130	HAL::I2CIntr::I2CLogs_t	
[159]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000131	HAL::I2CIntr::I2CLogs_t	
[160]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000132	HAL::I2CIntr::I2CLogs_t	
[161]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000133	HAL::I2CIntr::I2CLogs_t	
[162]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000134	HAL::I2CIntr::I2CLogs_t	
[163]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000135	HAL::I2CIntr::I2CLogs_t	
[164]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000136	HAL::I2CIntr::I2CLogs_t	
[165]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000137	HAL::I2CIntr::I2CLogs_t	
[166]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000138	HAL::I2CIntr::I2CLogs_t	
[167]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000139	HAL::I2CIntr::I2CLogs_t	
[168]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000013A	HAL::I2CIntr::I2CLogs_t	
[169]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000013B	HAL::I2CIntr::I2CLogs_t	
[170]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000013C	HAL::I2CIntr::I2CLogs_t	
[171]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000013D	HAL::I2CIntr::I2CLogs_t	
[172]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000013E	HAL::I2CIntr::I2CLogs_t	
[173]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000013F	HAL::I2CIntr::I2CLogs_t	
[174]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000140	HAL::I2CIntr::I2CLogs_t	
[175]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000141	HAL::I2CIntr::I2CLogs_t	
[176]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000142	HAL::I2CIntr::I2CLogs_t	
[177]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000143	HAL::I2CIntr::I2CLogs_t	
[178]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000144	HAL::I2CIntr::I2CLogs_t	
[179]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x20000145	HAL::I2CIntr::I2CLogs_t	
[180]	I2C_LOG_TXN_DONE	0x20000146	HAL::I2CIntr::I2CLogs_t	
[181]	I2C_LOG_TXN_DEQUEUED	0x20000147	HAL::I2CIntr::I2CLogs_t	
[182]	I2C_LOG_SB_MASTER_TX	0x20000148	HAL::I2CIntr::I2CLogs_t	
[183]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x20000149	HAL::I2CIntr::I2CLogs_t	
[184]	I2C_LOG_TXE	0x2000014A	HAL::I2CIntr::I2CLogs_t	
[185]	I2C_LOG_TXE	0x2000014B	HAL::I2CIntr::I2CLogs_t	
[186]	I2C_LOG_TXE_DONE	0x2000014C	HAL::I2CIntr::I2CLogs_t	
[187]	I2C_LOG_TXN_DONE	0x2000014D	HAL::I2CIntr::I2CLogs_t	
[188]	I2C_LOG_TXN_DEQUEUED	0x2000014E	HAL::I2CIntr::I2CLogs_t	
[189]	I2C_LOG_TXE	0x2000014F	HAL::I2CIntr::I2CLogs_t	
[190]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x20000150	HAL::I2CIntr::I2CLogs_t	
[191]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x20000151	HAL::I2CIntr::I2CLogs_t	
[192]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x20000152	HAL::I2CIntr::I2CLogs_t	
[193]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000153	HAL::I2CIntr::I2CLogs_t	
[194]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000154	HAL::I2CIntr::I2CLogs_t	
[195]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000155	HAL::I2CIntr::I2CLogs_t	
[196]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000156	HAL::I2CIntr::I2CLogs_t	
[197]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000157	HAL::I2CIntr::I2CLogs_t	
[198]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000158	HAL::I2CIntr::I2CLogs_t	
[199]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000159	HAL::I2CIntr::I2CLogs_t	
[200]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000015A	HAL::I2CIntr::I2CLogs_t	
[201]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000015B	HAL::I2CIntr::I2CLogs_t	
[202]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000015C	HAL::I2CIntr::I2CLogs_t	
[203]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000015D	HAL::I2CIntr::I2CLogs_t	
[204]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000015E	HAL::I2CIntr::I2CLogs_t	
[205]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000015F	HAL::I2CIntr::I2CLogs_t	
[206]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000160	HAL::I2CIntr::I2CLogs_t	
[207]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000161	HAL::I2CIntr::I2CLogs_t	
[208]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000162	HAL::I2CIntr::I2CLogs_t	
[209]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000163	HAL::I2CIntr::I2CLogs_t	
[210]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000164	HAL::I2CIntr::I2CLogs_t	
[211]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000165	HAL::I2CIntr::I2CLogs_t	
[212]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000166	HAL::I2CIntr::I2CLogs_t	
[213]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000167	HAL::I2CIntr::I2CLogs_t	
[214]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000168	HAL::I2CIntr::I2CLogs_t	
[215]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000169	HAL::I2CIntr::I2CLogs_t	
[216]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x2000016A	HAL::I2CIntr::I2CLogs_t	
[217]	I2C_LOG_TXN_DONE	0x2000016B	HAL::I2CIntr::I2CLogs_t	
[218]	I2C_LOG_TXN_DEQUEUED	0x2000016C	HAL::I2CIntr::I2CLogs_t	
[219]	I2C_LOG_SB_MASTER_TX	0x2000016D	HAL::I2CIntr::I2CLogs_t	
[220]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000016E	HAL::I2CIntr::I2CLogs_t	
[221]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x2000016F	HAL::I2CIntr::I2CLogs_t	
[222]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x20000170	HAL::I2CIntr::I2CLogs_t	
[223]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x20000171	HAL::I2CIntr::I2CLogs_t	
[224]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000172	HAL::I2CIntr::I2CLogs_t	
[225]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000173	HAL::I2CIntr::I2CLogs_t	
[226]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000174	HAL::I2CIntr::I2CLogs_t	
[227]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000175	HAL::I2CIntr::I2CLogs_t	
[228]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000176	HAL::I2CIntr::I2CLogs_t	
[229]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000177	HAL::I2CIntr::I2CLogs_t	
[230]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000178	HAL::I2CIntr::I2CLogs_t	
[231]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000179	HAL::I2CIntr::I2CLogs_t	
[232]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000017A	HAL::I2CIntr::I2CLogs_t	
