Expression	Value	Location	Type	
Highs	Error (col 1): Unknown or ambiguous symbol. Highs			
Lows	Error (col 1): Unknown or ambiguous symbol. Lows			
Highs_A1	Error (col 1): Unknown or ambiguous symbol. Highs_A1			
[312]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001CA	HAL::I2CIntr::I2CLogs_t	
[313]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001CB	HAL::I2CIntr::I2CLogs_t	
[314]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001CC	HAL::I2CIntr::I2CLogs_t	
[315]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x200001CD	HAL::I2CIntr::I2CLogs_t	
[316]	I2C_LOG_TXN_DONE	0x200001CE	HAL::I2CIntr::I2CLogs_t	
[317]	I2C_LOG_TXN_QUEUE_EMPTY	0x200001CF	HAL::I2CIntr::I2CLogs_t	
[318]	I2C_LOG_START_MASTER_TXRX	0x200001D0	HAL::I2CIntr::I2CLogs_t	
[319]	I2C_LOG_TXN_QUEUED	0x200001D1	HAL::I2CIntr::I2CLogs_t	
[320]	I2C_LOG_SB_MASTER_TX	0x200001D2	HAL::I2CIntr::I2CLogs_t	
[321]	I2C_LOG_TXN_QUEUED	0x200001D3	HAL::I2CIntr::I2CLogs_t	
[322]	I2C_LOG_TXN_QUEUED	0x200001D4	HAL::I2CIntr::I2CLogs_t	
[323]	I2C_LOG_TXN_QUEUED	0x200001D5	HAL::I2CIntr::I2CLogs_t	
[324]	I2C_LOG_TXN_QUEUED	0x200001D6	HAL::I2CIntr::I2CLogs_t	
[325]	I2C_LOG_TXN_QUEUED	0x200001D7	HAL::I2CIntr::I2CLogs_t	
[326]	I2C_LOG_TXN_QUEUED	0x200001D8	HAL::I2CIntr::I2CLogs_t	
[327]	I2C_LOG_TXN_QUEUED	0x200001D9	HAL::I2CIntr::I2CLogs_t	
[328]	I2C_LOG_TXN_QUEUED	0x200001DA	HAL::I2CIntr::I2CLogs_t	
[329]	I2C_LOG_TXN_QUEUE_ERROR	0x200001DB	HAL::I2CIntr::I2CLogs_t	
[330]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200001DC	HAL::I2CIntr::I2CLogs_t	
[331]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x200001DD	HAL::I2CIntr::I2CLogs_t	
[332]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x200001DE	HAL::I2CIntr::I2CLogs_t	
[333]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x200001DF	HAL::I2CIntr::I2CLogs_t	
[334]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001E0	HAL::I2CIntr::I2CLogs_t	
[335]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001E1	HAL::I2CIntr::I2CLogs_t	
[336]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001E2	HAL::I2CIntr::I2CLogs_t	
[337]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001E3	HAL::I2CIntr::I2CLogs_t	
[338]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001E4	HAL::I2CIntr::I2CLogs_t	
[339]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001E5	HAL::I2CIntr::I2CLogs_t	
[340]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001E6	HAL::I2CIntr::I2CLogs_t	
[341]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001E7	HAL::I2CIntr::I2CLogs_t	
[342]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001E8	HAL::I2CIntr::I2CLogs_t	
[343]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001E9	HAL::I2CIntr::I2CLogs_t	
[344]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001EA	HAL::I2CIntr::I2CLogs_t	
[345]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001EB	HAL::I2CIntr::I2CLogs_t	
[346]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001EC	HAL::I2CIntr::I2CLogs_t	
[347]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001ED	HAL::I2CIntr::I2CLogs_t	
[348]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001EE	HAL::I2CIntr::I2CLogs_t	
[349]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001EF	HAL::I2CIntr::I2CLogs_t	
[350]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001F0	HAL::I2CIntr::I2CLogs_t	
[351]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001F1	HAL::I2CIntr::I2CLogs_t	
[352]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001F2	HAL::I2CIntr::I2CLogs_t	
[353]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001F3	HAL::I2CIntr::I2CLogs_t	
[354]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001F4	HAL::I2CIntr::I2CLogs_t	
[355]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001F5	HAL::I2CIntr::I2CLogs_t	
[356]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001F6	HAL::I2CIntr::I2CLogs_t	
[357]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x200001F7	HAL::I2CIntr::I2CLogs_t	
[358]	I2C_LOG_TXN_DONE	0x200001F8	HAL::I2CIntr::I2CLogs_t	
[359]	I2C_LOG_TXN_DEQUEUED	0x200001F9	HAL::I2CIntr::I2CLogs_t	
[360]	I2C_LOG_SB_MASTER_TX	0x200001FA	HAL::I2CIntr::I2CLogs_t	
[361]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200001FB	HAL::I2CIntr::I2CLogs_t	
[362]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x200001FC	HAL::I2CIntr::I2CLogs_t	
[363]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x200001FD	HAL::I2CIntr::I2CLogs_t	
[364]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x200001FE	HAL::I2CIntr::I2CLogs_t	
[365]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001FF	HAL::I2CIntr::I2CLogs_t	
[366]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000200	HAL::I2CIntr::I2CLogs_t	
[367]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000201	HAL::I2CIntr::I2CLogs_t	
[368]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000202	HAL::I2CIntr::I2CLogs_t	
[369]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000203	HAL::I2CIntr::I2CLogs_t	
[370]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000204	HAL::I2CIntr::I2CLogs_t	
[371]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000205	HAL::I2CIntr::I2CLogs_t	
[372]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000206	HAL::I2CIntr::I2CLogs_t	
[373]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000207	HAL::I2CIntr::I2CLogs_t	
[374]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000208	HAL::I2CIntr::I2CLogs_t	
[375]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000209	HAL::I2CIntr::I2CLogs_t	
[376]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000020A	HAL::I2CIntr::I2CLogs_t	
[377]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000020B	HAL::I2CIntr::I2CLogs_t	
[378]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000020C	HAL::I2CIntr::I2CLogs_t	
[379]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000020D	HAL::I2CIntr::I2CLogs_t	
[380]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000020E	HAL::I2CIntr::I2CLogs_t	
[381]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000020F	HAL::I2CIntr::I2CLogs_t	
[382]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000210	HAL::I2CIntr::I2CLogs_t	
[383]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000211	HAL::I2CIntr::I2CLogs_t	
[384]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000212	HAL::I2CIntr::I2CLogs_t	
[385]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000213	HAL::I2CIntr::I2CLogs_t	
[386]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000214	HAL::I2CIntr::I2CLogs_t	
[387]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000215	HAL::I2CIntr::I2CLogs_t	
[388]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x20000216	HAL::I2CIntr::I2CLogs_t	
[389]	I2C_LOG_TXN_DONE	0x20000217	HAL::I2CIntr::I2CLogs_t	
[390]	I2C_LOG_TXN_DEQUEUED	0x20000218	HAL::I2CIntr::I2CLogs_t	
[391]	I2C_LOG_SB_MASTER_TX	0x20000219	HAL::I2CIntr::I2CLogs_t	
[392]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000021A	HAL::I2CIntr::I2CLogs_t	
[393]	I2C_LOG_TXE	0x2000021B	HAL::I2CIntr::I2CLogs_t	
[394]	I2C_LOG_TXE	0x2000021C	HAL::I2CIntr::I2CLogs_t	
[395]	I2C_LOG_TXE_DONE	0x2000021D	HAL::I2CIntr::I2CLogs_t	
[396]	I2C_LOG_TXN_DONE	0x2000021E	HAL::I2CIntr::I2CLogs_t	
[397]	I2C_LOG_TXN_DEQUEUED	0x2000021F	HAL::I2CIntr::I2CLogs_t	
[398]	I2C_LOG_TXE	0x20000220	HAL::I2CIntr::I2CLogs_t	
[399]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x20000221	HAL::I2CIntr::I2CLogs_t	
[400]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x20000222	HAL::I2CIntr::I2CLogs_t	
[401]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x20000223	HAL::I2CIntr::I2CLogs_t	
[402]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000224	HAL::I2CIntr::I2CLogs_t	
[403]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000225	HAL::I2CIntr::I2CLogs_t	
[404]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000226	HAL::I2CIntr::I2CLogs_t	
[405]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000227	HAL::I2CIntr::I2CLogs_t	
[406]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000228	HAL::I2CIntr::I2CLogs_t	
[407]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000229	HAL::I2CIntr::I2CLogs_t	
[408]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000022A	HAL::I2CIntr::I2CLogs_t	
[409]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000022B	HAL::I2CIntr::I2CLogs_t	
[410]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000022C	HAL::I2CIntr::I2CLogs_t	
[411]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000022D	HAL::I2CIntr::I2CLogs_t	
[412]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000022E	HAL::I2CIntr::I2CLogs_t	
[413]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000022F	HAL::I2CIntr::I2CLogs_t	
[414]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000230	HAL::I2CIntr::I2CLogs_t	
[415]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000231	HAL::I2CIntr::I2CLogs_t	
[416]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000232	HAL::I2CIntr::I2CLogs_t	
[417]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000233	HAL::I2CIntr::I2CLogs_t	
[418]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000234	HAL::I2CIntr::I2CLogs_t	
[419]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000235	HAL::I2CIntr::I2CLogs_t	
[420]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000236	HAL::I2CIntr::I2CLogs_t	
[421]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000237	HAL::I2CIntr::I2CLogs_t	
[422]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000238	HAL::I2CIntr::I2CLogs_t	
[423]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000239	HAL::I2CIntr::I2CLogs_t	
[424]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000023A	HAL::I2CIntr::I2CLogs_t	
[425]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x2000023B	HAL::I2CIntr::I2CLogs_t	
[426]	I2C_LOG_TXN_DONE	0x2000023C	HAL::I2CIntr::I2CLogs_t	
[427]	I2C_LOG_TXN_DEQUEUED	0x2000023D	HAL::I2CIntr::I2CLogs_t	
[428]	I2C_LOG_SB_MASTER_TX	0x2000023E	HAL::I2CIntr::I2CLogs_t	
[429]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000023F	HAL::I2CIntr::I2CLogs_t	
[430]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x20000240	HAL::I2CIntr::I2CLogs_t	
[431]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x20000241	HAL::I2CIntr::I2CLogs_t	
[432]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x20000242	HAL::I2CIntr::I2CLogs_t	
[433]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000243	HAL::I2CIntr::I2CLogs_t	
[434]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000244	HAL::I2CIntr::I2CLogs_t	
[435]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000245	HAL::I2CIntr::I2CLogs_t	
[436]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000246	HAL::I2CIntr::I2CLogs_t	
[437]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000247	HAL::I2CIntr::I2CLogs_t	
[438]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000248	HAL::I2CIntr::I2CLogs_t	
[439]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000249	HAL::I2CIntr::I2CLogs_t	
[440]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000024A	HAL::I2CIntr::I2CLogs_t	
[441]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000024B	HAL::I2CIntr::I2CLogs_t	
[442]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000024C	HAL::I2CIntr::I2CLogs_t	
[443]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000024D	HAL::I2CIntr::I2CLogs_t	
[444]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000024E	HAL::I2CIntr::I2CLogs_t	
[445]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000024F	HAL::I2CIntr::I2CLogs_t	
[446]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000250	HAL::I2CIntr::I2CLogs_t	
[447]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000251	HAL::I2CIntr::I2CLogs_t	
[448]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000252	HAL::I2CIntr::I2CLogs_t	
[449]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000253	HAL::I2CIntr::I2CLogs_t	
[450]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000254	HAL::I2CIntr::I2CLogs_t	
[451]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000255	HAL::I2CIntr::I2CLogs_t	
[452]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000256	HAL::I2CIntr::I2CLogs_t	
[453]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000257	HAL::I2CIntr::I2CLogs_t	
[454]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000258	HAL::I2CIntr::I2CLogs_t	
[455]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000259	HAL::I2CIntr::I2CLogs_t	
[456]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x2000025A	HAL::I2CIntr::I2CLogs_t	
[457]	I2C_LOG_TXN_DONE	0x2000025B	HAL::I2CIntr::I2CLogs_t	
[458]	I2C_LOG_TXN_DEQUEUED	0x2000025C	HAL::I2CIntr::I2CLogs_t	
[459]	I2C_LOG_SB_MASTER_TX	0x2000025D	HAL::I2CIntr::I2CLogs_t	
[460]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000025E	HAL::I2CIntr::I2CLogs_t	
[461]	I2C_LOG_TXE	0x2000025F	HAL::I2CIntr::I2CLogs_t	
[462]	I2C_LOG_TXE	0x20000260	HAL::I2CIntr::I2CLogs_t	
[463]	I2C_LOG_TXE_DONE	0x20000261	HAL::I2CIntr::I2CLogs_t	
[464]	I2C_LOG_TXN_DONE	0x20000262	HAL::I2CIntr::I2CLogs_t	
[465]	I2C_LOG_TXN_DEQUEUED	0x20000263	HAL::I2CIntr::I2CLogs_t	
[466]	I2C_LOG_TXE	0x20000264	HAL::I2CIntr::I2CLogs_t	
[467]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x20000265	HAL::I2CIntr::I2CLogs_t	
[468]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x20000266	HAL::I2CIntr::I2CLogs_t	
[469]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x20000267	HAL::I2CIntr::I2CLogs_t	
[470]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000268	HAL::I2CIntr::I2CLogs_t	
[471]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000269	HAL::I2CIntr::I2CLogs_t	
[472]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000026A	HAL::I2CIntr::I2CLogs_t	
[473]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000026B	HAL::I2CIntr::I2CLogs_t	
[474]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000026C	HAL::I2CIntr::I2CLogs_t	
[475]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000026D	HAL::I2CIntr::I2CLogs_t	
[476]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000026E	HAL::I2CIntr::I2CLogs_t	
[477]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000026F	HAL::I2CIntr::I2CLogs_t	
[478]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000270	HAL::I2CIntr::I2CLogs_t	
[479]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000271	HAL::I2CIntr::I2CLogs_t	
[480]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000272	HAL::I2CIntr::I2CLogs_t	
[481]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000273	HAL::I2CIntr::I2CLogs_t	
[482]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000274	HAL::I2CIntr::I2CLogs_t	
[483]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000275	HAL::I2CIntr::I2CLogs_t	
[484]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000276	HAL::I2CIntr::I2CLogs_t	
[485]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000277	HAL::I2CIntr::I2CLogs_t	
[486]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000278	HAL::I2CIntr::I2CLogs_t	
[487]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000279	HAL::I2CIntr::I2CLogs_t	
[488]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000027A	HAL::I2CIntr::I2CLogs_t	
[489]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000027B	HAL::I2CIntr::I2CLogs_t	
[490]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000027C	HAL::I2CIntr::I2CLogs_t	
[491]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000027D	HAL::I2CIntr::I2CLogs_t	
[492]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000027E	HAL::I2CIntr::I2CLogs_t	
[493]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x2000027F	HAL::I2CIntr::I2CLogs_t	
[494]	I2C_LOG_TXN_DONE	0x20000280	HAL::I2CIntr::I2CLogs_t	
[495]	I2C_LOG_TXN_DEQUEUED	0x20000281	HAL::I2CIntr::I2CLogs_t	
[496]	I2C_LOG_SB_MASTER_TX	0x20000282	HAL::I2CIntr::I2CLogs_t	
[497]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x20000283	HAL::I2CIntr::I2CLogs_t	
[498]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x20000284	HAL::I2CIntr::I2CLogs_t	
[499]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x20000285	HAL::I2CIntr::I2CLogs_t	
[500]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x20000286	HAL::I2CIntr::I2CLogs_t	
[501]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000287	HAL::I2CIntr::I2CLogs_t	
[502]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000288	HAL::I2CIntr::I2CLogs_t	
[503]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000289	HAL::I2CIntr::I2CLogs_t	
[504]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000028A	HAL::I2CIntr::I2CLogs_t	
[505]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000028B	HAL::I2CIntr::I2CLogs_t	
[506]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000028C	HAL::I2CIntr::I2CLogs_t	
[507]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000028D	HAL::I2CIntr::I2CLogs_t	
[508]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000028E	HAL::I2CIntr::I2CLogs_t	
[509]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000028F	HAL::I2CIntr::I2CLogs_t	
[510]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000290	HAL::I2CIntr::I2CLogs_t	
[511]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000291	HAL::I2CIntr::I2CLogs_t	
[512]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000292	HAL::I2CIntr::I2CLogs_t	
[513]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000293	HAL::I2CIntr::I2CLogs_t	
[514]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000294	HAL::I2CIntr::I2CLogs_t	
[515]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000295	HAL::I2CIntr::I2CLogs_t	
[516]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000296	HAL::I2CIntr::I2CLogs_t	
[517]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000297	HAL::I2CIntr::I2CLogs_t	
[518]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000298	HAL::I2CIntr::I2CLogs_t	
[519]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000299	HAL::I2CIntr::I2CLogs_t	
[520]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000029A	HAL::I2CIntr::I2CLogs_t	
[521]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000029B	HAL::I2CIntr::I2CLogs_t	
[522]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000029C	HAL::I2CIntr::I2CLogs_t	
[523]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000029D	HAL::I2CIntr::I2CLogs_t	
[524]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x2000029E	HAL::I2CIntr::I2CLogs_t	
[525]	I2C_LOG_TXN_DONE	0x2000029F	HAL::I2CIntr::I2CLogs_t	
[526]	I2C_LOG_TXN_DEQUEUED	0x200002A0	HAL::I2CIntr::I2CLogs_t	
[527]	I2C_LOG_SB_MASTER_TX	0x200002A1	HAL::I2CIntr::I2CLogs_t	
[528]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200002A2	HAL::I2CIntr::I2CLogs_t	
[529]	I2C_LOG_TXE	0x200002A3	HAL::I2CIntr::I2CLogs_t	
[530]	I2C_LOG_TXE	0x200002A4	HAL::I2CIntr::I2CLogs_t	
[531]	I2C_LOG_TXE_DONE	0x200002A5	HAL::I2CIntr::I2CLogs_t	
[532]	I2C_LOG_TXN_DONE	0x200002A6	HAL::I2CIntr::I2CLogs_t	
[533]	I2C_LOG_TXN_DEQUEUED	0x200002A7	HAL::I2CIntr::I2CLogs_t	
[534]	I2C_LOG_TXE	0x200002A8	HAL::I2CIntr::I2CLogs_t	
[535]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x200002A9	HAL::I2CIntr::I2CLogs_t	
[536]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x200002AA	HAL::I2CIntr::I2CLogs_t	
[537]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x200002AB	HAL::I2CIntr::I2CLogs_t	
[538]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002AC	HAL::I2CIntr::I2CLogs_t	
[539]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002AD	HAL::I2CIntr::I2CLogs_t	
[540]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002AE	HAL::I2CIntr::I2CLogs_t	
[541]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002AF	HAL::I2CIntr::I2CLogs_t	
[542]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002B0	HAL::I2CIntr::I2CLogs_t	
[543]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002B1	HAL::I2CIntr::I2CLogs_t	
[544]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002B2	HAL::I2CIntr::I2CLogs_t	
[545]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002B3	HAL::I2CIntr::I2CLogs_t	
[546]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002B4	HAL::I2CIntr::I2CLogs_t	
