Expression	Value	Location	Type	
[16]	I2C_LOG_SB_MASTER_TX	0x20000794	HAL::I2CIntr::I2CLogs_t	
[17]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x20000795	HAL::I2CIntr::I2CLogs_t	
[18]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000796	HAL::I2CIntr::I2CLogs_t	
[19]	I2C_LOG_TXE_DONE	0x20000797	HAL::I2CIntr::I2CLogs_t	
[20]	I2C_LOG_START_MASTER_TX	0x20000798	HAL::I2CIntr::I2CLogs_t	
[21]	I2C_LOG_SB_MASTER_TX	0x20000799	HAL::I2CIntr::I2CLogs_t	
[22]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000079A	HAL::I2CIntr::I2CLogs_t	
[23]	I2C_LOG_TXN_QUEUE_EMPTY	0x2000079B	HAL::I2CIntr::I2CLogs_t	
[24]	I2C_LOG_TXE_DONE	0x2000079C	HAL::I2CIntr::I2CLogs_t	
[25]	I2C_LOG_START_MASTER_RX	0x2000079D	HAL::I2CIntr::I2CLogs_t	
[26]	I2C_LOG_SB_MASTER_RX	0x2000079E	HAL::I2CIntr::I2CLogs_t	
[27]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x2000079F	HAL::I2CIntr::I2CLogs_t	
[28]	I2C_LOG_RXNE_MASTER	0x200007A0	HAL::I2CIntr::I2CLogs_t	
[29]	I2C_LOG_RXNE_MASTER_SIZE_2	0x200007A1	HAL::I2CIntr::I2CLogs_t	
[30]	I2C_LOG_RXNE_MASTER_SIZE_1	0x200007A2	HAL::I2CIntr::I2CLogs_t	
[31]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007A3	HAL::I2CIntr::I2CLogs_t	
[32]	I2C_LOG_START_MASTER_TX	0x200007A4	HAL::I2CIntr::I2CLogs_t	
[33]	I2C_LOG_SB_MASTER_TX	0x200007A5	HAL::I2CIntr::I2CLogs_t	
[34]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200007A6	HAL::I2CIntr::I2CLogs_t	
[35]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007A7	HAL::I2CIntr::I2CLogs_t	
[36]	I2C_LOG_TXE_DONE	0x200007A8	HAL::I2CIntr::I2CLogs_t	
[37]	I2C_LOG_START_MASTER_RX	0x200007A9	HAL::I2CIntr::I2CLogs_t	
[38]	I2C_LOG_SB_MASTER_RX	0x200007AA	HAL::I2CIntr::I2CLogs_t	
[39]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x200007AB	HAL::I2CIntr::I2CLogs_t	
[40]	I2C_LOG_RXNE_MASTER	0x200007AC	HAL::I2CIntr::I2CLogs_t	
[41]	I2C_LOG_RXNE_MASTER_SIZE_2	0x200007AD	HAL::I2CIntr::I2CLogs_t	
[42]	I2C_LOG_RXNE_MASTER_SIZE_1	0x200007AE	HAL::I2CIntr::I2CLogs_t	
[43]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007AF	HAL::I2CIntr::I2CLogs_t	
[44]	I2C_LOG_START_MASTER_TX	0x200007B0	HAL::I2CIntr::I2CLogs_t	
[45]	I2C_LOG_SB_MASTER_TX	0x200007B1	HAL::I2CIntr::I2CLogs_t	
[46]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200007B2	HAL::I2CIntr::I2CLogs_t	
[47]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007B3	HAL::I2CIntr::I2CLogs_t	
[48]	I2C_LOG_TXE_DONE	0x200007B4	HAL::I2CIntr::I2CLogs_t	
[49]	I2C_LOG_START_MASTER_RX	0x200007B5	HAL::I2CIntr::I2CLogs_t	
[50]	I2C_LOG_SB_MASTER_RX	0x200007B6	HAL::I2CIntr::I2CLogs_t	
[51]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x200007B7	HAL::I2CIntr::I2CLogs_t	
[52]	I2C_LOG_RXNE_MASTER	0x200007B8	HAL::I2CIntr::I2CLogs_t	
[53]	I2C_LOG_RXNE_MASTER_SIZE_2	0x200007B9	HAL::I2CIntr::I2CLogs_t	
[54]	I2C_LOG_RXNE_MASTER_SIZE_1	0x200007BA	HAL::I2CIntr::I2CLogs_t	
[55]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007BB	HAL::I2CIntr::I2CLogs_t	
[56]	I2C_LOG_START_MASTER_TX	0x200007BC	HAL::I2CIntr::I2CLogs_t	
[57]	I2C_LOG_SB_MASTER_TX	0x200007BD	HAL::I2CIntr::I2CLogs_t	
[58]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200007BE	HAL::I2CIntr::I2CLogs_t	
[59]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007BF	HAL::I2CIntr::I2CLogs_t	
[60]	I2C_LOG_TXE_DONE	0x200007C0	HAL::I2CIntr::I2CLogs_t	
[61]	I2C_LOG_START_MASTER_RX	0x200007C1	HAL::I2CIntr::I2CLogs_t	
[62]	I2C_LOG_SB_MASTER_RX	0x200007C2	HAL::I2CIntr::I2CLogs_t	
[63]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x200007C3	HAL::I2CIntr::I2CLogs_t	
[64]	I2C_LOG_RXNE_MASTER	0x200007C4	HAL::I2CIntr::I2CLogs_t	
[65]	I2C_LOG_RXNE_MASTER_SIZE_2	0x200007C5	HAL::I2CIntr::I2CLogs_t	
[66]	I2C_LOG_RXNE_MASTER_SIZE_1	0x200007C6	HAL::I2CIntr::I2CLogs_t	
[67]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007C7	HAL::I2CIntr::I2CLogs_t	
[68]	I2C_LOG_START_MASTER_TX	0x200007C8	HAL::I2CIntr::I2CLogs_t	
[69]	I2C_LOG_SB_MASTER_TX	0x200007C9	HAL::I2CIntr::I2CLogs_t	
[70]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200007CA	HAL::I2CIntr::I2CLogs_t	
[71]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007CB	HAL::I2CIntr::I2CLogs_t	
[72]	I2C_LOG_TXE_DONE	0x200007CC	HAL::I2CIntr::I2CLogs_t	
[73]	I2C_LOG_START_MASTER_RX	0x200007CD	HAL::I2CIntr::I2CLogs_t	
[74]	I2C_LOG_SB_MASTER_RX	0x200007CE	HAL::I2CIntr::I2CLogs_t	
[75]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x200007CF	HAL::I2CIntr::I2CLogs_t	
[76]	I2C_LOG_RXNE_MASTER	0x200007D0	HAL::I2CIntr::I2CLogs_t	
[77]	I2C_LOG_RXNE_MASTER_SIZE_2	0x200007D1	HAL::I2CIntr::I2CLogs_t	
[78]	I2C_LOG_RXNE_MASTER_SIZE_1	0x200007D2	HAL::I2CIntr::I2CLogs_t	
[79]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007D3	HAL::I2CIntr::I2CLogs_t	
[80]	I2C_LOG_START_MASTER_TX	0x200007D4	HAL::I2CIntr::I2CLogs_t	
[81]	I2C_LOG_SB_MASTER_TX	0x200007D5	HAL::I2CIntr::I2CLogs_t	
[82]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200007D6	HAL::I2CIntr::I2CLogs_t	
[83]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007D7	HAL::I2CIntr::I2CLogs_t	
[84]	I2C_LOG_TXE_DONE	0x200007D8	HAL::I2CIntr::I2CLogs_t	
[85]	I2C_LOG_START_MASTER_RX	0x200007D9	HAL::I2CIntr::I2CLogs_t	
[86]	I2C_LOG_SB_MASTER_RX	0x200007DA	HAL::I2CIntr::I2CLogs_t	
[87]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x200007DB	HAL::I2CIntr::I2CLogs_t	
[88]	I2C_LOG_RXNE_MASTER	0x200007DC	HAL::I2CIntr::I2CLogs_t	
[89]	I2C_LOG_RXNE_MASTER_SIZE_2	0x200007DD	HAL::I2CIntr::I2CLogs_t	
[90]	I2C_LOG_RXNE_MASTER_SIZE_1	0x200007DE	HAL::I2CIntr::I2CLogs_t	
[91]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007DF	HAL::I2CIntr::I2CLogs_t	
[92]	I2C_LOG_START_MASTER_TX	0x200007E0	HAL::I2CIntr::I2CLogs_t	
[93]	I2C_LOG_SB_MASTER_TX	0x200007E1	HAL::I2CIntr::I2CLogs_t	
[94]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200007E2	HAL::I2CIntr::I2CLogs_t	
[95]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007E3	HAL::I2CIntr::I2CLogs_t	
[96]	I2C_LOG_TXE_DONE	0x200007E4	HAL::I2CIntr::I2CLogs_t	
[97]	I2C_LOG_START_MASTER_RX	0x200007E5	HAL::I2CIntr::I2CLogs_t	
[98]	I2C_LOG_SB_MASTER_RX	0x200007E6	HAL::I2CIntr::I2CLogs_t	
[99]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x200007E7	HAL::I2CIntr::I2CLogs_t	
[100]	I2C_LOG_RXNE_MASTER	0x200007E8	HAL::I2CIntr::I2CLogs_t	
[101]	I2C_LOG_RXNE_MASTER_SIZE_2	0x200007E9	HAL::I2CIntr::I2CLogs_t	
[102]	I2C_LOG_RXNE_MASTER_SIZE_1	0x200007EA	HAL::I2CIntr::I2CLogs_t	
[103]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007EB	HAL::I2CIntr::I2CLogs_t	
[104]	I2C_LOG_START_MASTER_TX	0x200007EC	HAL::I2CIntr::I2CLogs_t	
[105]	I2C_LOG_SB_MASTER_TX	0x200007ED	HAL::I2CIntr::I2CLogs_t	
[106]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200007EE	HAL::I2CIntr::I2CLogs_t	
[107]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007EF	HAL::I2CIntr::I2CLogs_t	
[108]	I2C_LOG_TXE_DONE	0x200007F0	HAL::I2CIntr::I2CLogs_t	
[109]	I2C_LOG_START_MASTER_RX	0x200007F1	HAL::I2CIntr::I2CLogs_t	
[110]	I2C_LOG_SB_MASTER_RX	0x200007F2	HAL::I2CIntr::I2CLogs_t	
[111]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x200007F3	HAL::I2CIntr::I2CLogs_t	
[112]	I2C_LOG_RXNE_MASTER	0x200007F4	HAL::I2CIntr::I2CLogs_t	
[113]	I2C_LOG_RXNE_MASTER_SIZE_2	0x200007F5	HAL::I2CIntr::I2CLogs_t	
[114]	I2C_LOG_RXNE_MASTER_SIZE_1	0x200007F6	HAL::I2CIntr::I2CLogs_t	
[115]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007F7	HAL::I2CIntr::I2CLogs_t	
[116]	I2C_LOG_START_MASTER_TX	0x200007F8	HAL::I2CIntr::I2CLogs_t	
[117]	I2C_LOG_SB_MASTER_TX	0x200007F9	HAL::I2CIntr::I2CLogs_t	
[118]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200007FA	HAL::I2CIntr::I2CLogs_t	
[119]	I2C_LOG_TXN_QUEUE_EMPTY	0x200007FB	HAL::I2CIntr::I2CLogs_t	
[120]	I2C_LOG_TXE_DONE	0x200007FC	HAL::I2CIntr::I2CLogs_t	
[121]	I2C_LOG_START_MASTER_RX	0x200007FD	HAL::I2CIntr::I2CLogs_t	
[122]	I2C_LOG_SB_MASTER_RX	0x200007FE	HAL::I2CIntr::I2CLogs_t	
[123]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x200007FF	HAL::I2CIntr::I2CLogs_t	
[124]	I2C_LOG_RXNE_MASTER	0x20000800	HAL::I2CIntr::I2CLogs_t	
[125]	I2C_LOG_RXNE_MASTER_SIZE_2	0x20000801	HAL::I2CIntr::I2CLogs_t	
[126]	I2C_LOG_RXNE_MASTER_SIZE_1	0x20000802	HAL::I2CIntr::I2CLogs_t	
[127]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000803	HAL::I2CIntr::I2CLogs_t	
[128]	I2C_LOG_START_MASTER_TX	0x20000804	HAL::I2CIntr::I2CLogs_t	
[129]	I2C_LOG_SB_MASTER_TX	0x20000805	HAL::I2CIntr::I2CLogs_t	
[130]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x20000806	HAL::I2CIntr::I2CLogs_t	
[131]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000807	HAL::I2CIntr::I2CLogs_t	
[132]	I2C_LOG_TXE_DONE	0x20000808	HAL::I2CIntr::I2CLogs_t	
[133]	I2C_LOG_START_MASTER_RX	0x20000809	HAL::I2CIntr::I2CLogs_t	
[134]	I2C_LOG_SB_MASTER_RX	0x2000080A	HAL::I2CIntr::I2CLogs_t	
[135]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x2000080B	HAL::I2CIntr::I2CLogs_t	
[136]	I2C_LOG_RXNE_MASTER	0x2000080C	HAL::I2CIntr::I2CLogs_t	
[137]	I2C_LOG_RXNE_MASTER_SIZE_2	0x2000080D	HAL::I2CIntr::I2CLogs_t	
[138]	I2C_LOG_RXNE_MASTER_SIZE_1	0x2000080E	HAL::I2CIntr::I2CLogs_t	
[139]	I2C_LOG_TXN_QUEUE_EMPTY	0x2000080F	HAL::I2CIntr::I2CLogs_t	
[140]	I2C_LOG_START_MASTER_TX	0x20000810	HAL::I2CIntr::I2CLogs_t	
[141]	I2C_LOG_SB_MASTER_TX	0x20000811	HAL::I2CIntr::I2CLogs_t	
[142]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x20000812	HAL::I2CIntr::I2CLogs_t	
[143]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000813	HAL::I2CIntr::I2CLogs_t	
[144]	I2C_LOG_TXE_DONE	0x20000814	HAL::I2CIntr::I2CLogs_t	
[145]	I2C_LOG_START_MASTER_RX	0x20000815	HAL::I2CIntr::I2CLogs_t	
[146]	I2C_LOG_SB_MASTER_RX	0x20000816	HAL::I2CIntr::I2CLogs_t	
[147]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x20000817	HAL::I2CIntr::I2CLogs_t	
[148]	I2C_LOG_RXNE_MASTER	0x20000818	HAL::I2CIntr::I2CLogs_t	
[149]	I2C_LOG_RXNE_MASTER_SIZE_2	0x20000819	HAL::I2CIntr::I2CLogs_t	
[150]	I2C_LOG_RXNE_MASTER_SIZE_1	0x2000081A	HAL::I2CIntr::I2CLogs_t	
[151]	I2C_LOG_TXN_QUEUE_EMPTY	0x2000081B	HAL::I2CIntr::I2CLogs_t	
[152]	I2C_LOG_START_MASTER_TX	0x2000081C	HAL::I2CIntr::I2CLogs_t	
[153]	I2C_LOG_SB_MASTER_TX	0x2000081D	HAL::I2CIntr::I2CLogs_t	
[154]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000081E	HAL::I2CIntr::I2CLogs_t	
[155]	I2C_LOG_TXN_QUEUE_EMPTY	0x2000081F	HAL::I2CIntr::I2CLogs_t	
[156]	I2C_LOG_TXE_DONE	0x20000820	HAL::I2CIntr::I2CLogs_t	
[157]	I2C_LOG_START_MASTER_RX	0x20000821	HAL::I2CIntr::I2CLogs_t	
[158]	I2C_LOG_SB_MASTER_RX	0x20000822	HAL::I2CIntr::I2CLogs_t	
[159]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x20000823	HAL::I2CIntr::I2CLogs_t	
[160]	I2C_LOG_RXNE_MASTER	0x20000824	HAL::I2CIntr::I2CLogs_t	
[161]	I2C_LOG_RXNE_MASTER_SIZE_2	0x20000825	HAL::I2CIntr::I2CLogs_t	
[162]	I2C_LOG_RXNE_MASTER_SIZE_1	0x20000826	HAL::I2CIntr::I2CLogs_t	
[163]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000827	HAL::I2CIntr::I2CLogs_t	
[164]	I2C_LOG_START_MASTER_TX	0x20000828	HAL::I2CIntr::I2CLogs_t	
[165]	I2C_LOG_SB_MASTER_TX	0x20000829	HAL::I2CIntr::I2CLogs_t	
[166]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000082A	HAL::I2CIntr::I2CLogs_t	
[167]	I2C_LOG_TXN_QUEUE_EMPTY	0x2000082B	HAL::I2CIntr::I2CLogs_t	
[168]	I2C_LOG_TXE_DONE	0x2000082C	HAL::I2CIntr::I2CLogs_t	
[169]	I2C_LOG_START_MASTER_RX	0x2000082D	HAL::I2CIntr::I2CLogs_t	
[170]	I2C_LOG_SB_MASTER_RX	0x2000082E	HAL::I2CIntr::I2CLogs_t	
[171]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x2000082F	HAL::I2CIntr::I2CLogs_t	
[172]	I2C_LOG_RXNE_MASTER	0x20000830	HAL::I2CIntr::I2CLogs_t	
[173]	I2C_LOG_RXNE_MASTER_SIZE_2	0x20000831	HAL::I2CIntr::I2CLogs_t	
[174]	I2C_LOG_RXNE_MASTER_SIZE_1	0x20000832	HAL::I2CIntr::I2CLogs_t	
[175]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000833	HAL::I2CIntr::I2CLogs_t	
[176]	I2C_LOG_START_MASTER_TX	0x20000834	HAL::I2CIntr::I2CLogs_t	
[177]	I2C_LOG_SB_MASTER_TX	0x20000835	HAL::I2CIntr::I2CLogs_t	
[178]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x20000836	HAL::I2CIntr::I2CLogs_t	
[179]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000837	HAL::I2CIntr::I2CLogs_t	
[180]	I2C_LOG_TXE_DONE	0x20000838	HAL::I2CIntr::I2CLogs_t	
[181]	I2C_LOG_START_MASTER_RX	0x20000839	HAL::I2CIntr::I2CLogs_t	
[182]	I2C_LOG_SB_MASTER_RX	0x2000083A	HAL::I2CIntr::I2CLogs_t	
[183]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x2000083B	HAL::I2CIntr::I2CLogs_t	
[184]	I2C_LOG_RXNE_MASTER	0x2000083C	HAL::I2CIntr::I2CLogs_t	
[185]	I2C_LOG_RXNE_MASTER_SIZE_2	0x2000083D	HAL::I2CIntr::I2CLogs_t	
[186]	I2C_LOG_RXNE_MASTER_SIZE_1	0x2000083E	HAL::I2CIntr::I2CLogs_t	
[187]	I2C_LOG_TXN_QUEUE_EMPTY	0x2000083F	HAL::I2CIntr::I2CLogs_t	
[188]	I2C_LOG_START_MASTER_TX	0x20000840	HAL::I2CIntr::I2CLogs_t	
[189]	I2C_LOG_SB_MASTER_TX	0x20000841	HAL::I2CIntr::I2CLogs_t	
[190]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x20000842	HAL::I2CIntr::I2CLogs_t	
[191]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000843	HAL::I2CIntr::I2CLogs_t	
[192]	I2C_LOG_TXE_DONE	0x20000844	HAL::I2CIntr::I2CLogs_t	
[193]	I2C_LOG_START_MASTER_RX	0x20000845	HAL::I2CIntr::I2CLogs_t	
[194]	I2C_LOG_SB_MASTER_RX	0x20000846	HAL::I2CIntr::I2CLogs_t	
[195]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x20000847	HAL::I2CIntr::I2CLogs_t	
[196]	I2C_LOG_RXNE_MASTER	0x20000848	HAL::I2CIntr::I2CLogs_t	
[197]	I2C_LOG_RXNE_MASTER_SIZE_2	0x20000849	HAL::I2CIntr::I2CLogs_t	
[198]	I2C_LOG_RXNE_MASTER_SIZE_1	0x2000084A	HAL::I2CIntr::I2CLogs_t	
[199]	I2C_LOG_TXN_QUEUE_EMPTY	0x2000084B	HAL::I2CIntr::I2CLogs_t	
[200]	I2C_LOG_START_MASTER_TX	0x2000084C	HAL::I2CIntr::I2CLogs_t	
[201]	I2C_LOG_SB_MASTER_TX	0x2000084D	HAL::I2CIntr::I2CLogs_t	
[202]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000084E	HAL::I2CIntr::I2CLogs_t	
[203]	I2C_LOG_TXN_QUEUE_EMPTY	0x2000084F	HAL::I2CIntr::I2CLogs_t	
[204]	I2C_LOG_TXE_DONE	0x20000850	HAL::I2CIntr::I2CLogs_t	
[205]	I2C_LOG_START_MASTER_RX	0x20000851	HAL::I2CIntr::I2CLogs_t	
[206]	I2C_LOG_SB_MASTER_RX	0x20000852	HAL::I2CIntr::I2CLogs_t	
[207]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x20000853	HAL::I2CIntr::I2CLogs_t	
[208]	I2C_LOG_RXNE_MASTER	0x20000854	HAL::I2CIntr::I2CLogs_t	
[209]	I2C_LOG_RXNE_MASTER_SIZE_2	0x20000855	HAL::I2CIntr::I2CLogs_t	
[210]	I2C_LOG_RXNE_MASTER_SIZE_1	0x20000856	HAL::I2CIntr::I2CLogs_t	
[211]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000857	HAL::I2CIntr::I2CLogs_t	
[212]	I2C_LOG_START_MASTER_TX	0x20000858	HAL::I2CIntr::I2CLogs_t	
[213]	I2C_LOG_SB_MASTER_TX	0x20000859	HAL::I2CIntr::I2CLogs_t	
[214]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000085A	HAL::I2CIntr::I2CLogs_t	
[215]	I2C_LOG_TXN_QUEUE_EMPTY	0x2000085B	HAL::I2CIntr::I2CLogs_t	
[216]	I2C_LOG_TXE_DONE	0x2000085C	HAL::I2CIntr::I2CLogs_t	
[217]	I2C_LOG_START_MASTER_RX	0x2000085D	HAL::I2CIntr::I2CLogs_t	
[218]	I2C_LOG_SB_MASTER_RX	0x2000085E	HAL::I2CIntr::I2CLogs_t	
[219]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_OTHER	0x2000085F	HAL::I2CIntr::I2CLogs_t	
[220]	I2C_LOG_RXNE_MASTER	0x20000860	HAL::I2CIntr::I2CLogs_t	
[221]	I2C_LOG_RXNE_MASTER_SIZE_2	0x20000861	HAL::I2CIntr::I2CLogs_t	
[222]	I2C_LOG_RXNE_MASTER_SIZE_1	0x20000862	HAL::I2CIntr::I2CLogs_t	
[223]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000863	HAL::I2CIntr::I2CLogs_t	
[224]	I2C_LOG_START_MASTER_TX	0x20000864	HAL::I2CIntr::I2CLogs_t	
[225]	I2C_LOG_SB_MASTER_TX	0x20000865	HAL::I2CIntr::I2CLogs_t	
[226]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x20000866	HAL::I2CIntr::I2CLogs_t	
[227]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000867	HAL::I2CIntr::I2CLogs_t	
[228]	I2C_LOG_TXE_DONE	0x20000868	HAL::I2CIntr::I2CLogs_t	
